date,source,generation_gwh,unit
2015-09-01,Electricity Imported from Iran,39.6,GWh
2015-09-01,Electricity Generation by Mixed,15.07,GWh
2015-09-01,Electricity Generation by Wind,52.47,GWh
2015-09-01,Electricity Generation by bagasse,19.53,GWh
2015-09-01,Electricity Generation by Solar,15.01,GWh
2015-10-01,Total Electricity Generation by all sources,8297.1,GWh
2015-10-01,Electricity Generation by Hydel,2495.76,GWh
2015-10-01,Electricity Generation by Coal,4.61,GWh
2015-10-01,Electricity Generation by High Speed Diesel (HSD),172.74,GWh
2015-10-01,Electricity Generation by Residual Fuel Oil (RFO),2572.81,GWh
2015-10-01,Electricity Generation by Gas,2721.89,GWh
2015-10-01,Electricity Generation by Nuclear,226.64,GWh
2015-10-01,Electricity Imported from Iran,40.46,GWh
2015-10-01,Electricity Generation by Mixed,10.83,GWh
2015-10-01,Electricity Generation by Wind,37.24,GWh
2015-10-01,Electricity Generation by bagasse,0.07,GWh
2015-10-01,Electricity Generation by Solar,14.05,GWh
2015-11-01,Total Electricity Generation by all sources,6722.14,GWh
2015-11-01,Electricity Generation by Hydel,2302.36,GWh
2015-11-01,Electricity Generation by Coal,6.58,GWh
2015-11-01,Electricity Generation by High Speed Diesel (HSD),28.4,GWh
2015-11-01,Electricity Generation by Residual Fuel Oil (RFO),1856.25,GWh
2015-11-01,Electricity Generation by Gas,2188.0,GWh
2015-11-01,Electricity Generation by Nuclear,219.16,GWh
2015-11-01,Electricity Imported from Iran,34.45,GWh
2015-11-01,Electricity Generation by Mixed,12.26,GWh
2015-11-01,Electricity Generation by Wind,45.74,GWh
2015-11-01,Electricity Generation by bagasse,18.49,GWh
2015-11-01,Electricity Generation by Solar,10.45,GWh
2015-12-01,Total Electricity Generation by all sources,6879.77,GWh
2015-12-01,Electricity Generation by Hydel,1802.71,GWh
2015-12-01,Electricity Generation by Coal,10.0,GWh
2015-12-01,Electricity Generation by High Speed Diesel (HSD),99.42,GWh
2015-12-01,Electricity Generation by Residual Fuel Oil (RFO),2484.42,GWh
2015-12-01,Electricity Generation by Gas,2087.55,GWh
2015-12-01,Electricity Generation by Nuclear,226.37,GWh
2015-12-01,Electricity Imported from Iran,34.66,GWh
2015-12-01,Electricity Generation by Mixed,31.96,GWh
2015-12-01,Electricity Generation by Wind,36.09,GWh
