date,year,month,month_name,source,category,generation_gwh,unit
2014-10-01,2014,10,Oct,Electricity Generation by Wind,Renewable,11.41, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Coal,Fossil / Other,15.34, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Gas,Fossil / Other,1766.01, GWh
2014-11-01,2014,11,Nov,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,5.07, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Mixed,Fossil / Other,101.61, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,1394.06, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Nuclear,Nuclear,433.65, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Hydel,Renewable,2891.91, GWh
2014-11-01,2014,11,Nov,Electricity Generation by Wind,Renewable,13.85, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Coal,Fossil / Other,14.47, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Gas,Fossil / Other,1575.33, GWh
2014-12-01,2014,12,Dec,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,52.7, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Mixed,Fossil / Other,130.05, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2658.56, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Nuclear,Nuclear,384.92, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Hydel,Renewable,1907.41, GWh
2014-12-01,2014,12,Dec,Electricity Generation by Wind,Renewable,29.97, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Coal,Fossil / Other,1.56, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Gas,Fossil / Other,1442.89, GWh
2015-01-01,2015,1,Jan,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,582.87, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Mixed,Fossil / Other,130.05, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2806.66, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Nuclear,Nuclear,349.58, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Hydel,Renewable,809.87, GWh
2015-01-01,2015,1,Jan,Electricity Generation by Wind,Renewable,32.97, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Coal,Fossil / Other,18.35, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Gas,Fossil / Other,1252.6, GWh
2015-02-01,2015,2,Feb,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,105.64, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Mixed,Fossil / Other,117.52, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,1933.36, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Nuclear,Nuclear,409.49, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Hydel,Renewable,1957.18, GWh
2015-02-01,2015,2,Feb,Electricity Generation by Wind,Renewable,36.81, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Coal,Fossil / Other,7.58, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Gas,Fossil / Other,1669.67, GWh
2015-03-01,2015,3,Mar,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,302.84, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Mixed,Fossil / Other,138.07, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2540.72, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Nuclear,Nuclear,451.96, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Hydel,Renewable,1364.16, GWh
2015-03-01,2015,3,Mar,Electricity Generation by Wind,Renewable,33.29, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Coal,Fossil / Other,13.12, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Gas,Fossil / Other,1964.31, GWh
2015-04-01,2015,4,Apr,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,371.2, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Mixed,Fossil / Other,116.96, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2880.22, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Nuclear,Nuclear,431.98, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Hydel,Renewable,1472.75, GWh
2015-04-01,2015,4,Apr,Electricity Generation by Wind,Renewable,52.54, GWh
2015-05-01,2015,5,May,Electricity Generation by Gas,Fossil / Other,2659.948, GWh
2015-05-01,2015,5,May,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,114.238, GWh
2015-05-01,2015,5,May,Electricity Generation by Mixed,Fossil / Other,96.38, GWh
2015-05-01,2015,5,May,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2740.55, GWh
2015-05-01,2015,5,May,Electricity Generation by Nuclear,Nuclear,445.332, GWh
2015-05-01,2015,5,May,Electricity Generation by Hydel,Renewable,3377.71, GWh
2015-05-01,2015,5,May,Electricity Generation by Wind,Renewable,77.494, GWh
2015-05-01,2015,5,May,Electricity Generation by bagasse,Renewable,23.967, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Gas,Fossil / Other,2722.0, GWh
2015-06-01,2015,6,Jun,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,126.95, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Mixed,Fossil / Other,38.86, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2484.22, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Nuclear,Nuclear,430.99, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Hydel,Renewable,3972.81, GWh
2015-06-01,2015,6,Jun,Electricity Generation by Wind,Renewable,52.89, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Coal,Fossil / Other,5.85, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Gas,Fossil / Other,2930.53, GWh
2015-07-01,2015,7,Jul,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,125.15, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Mixed,Fossil / Other,36.96, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Residual Fuel Oil (RFO),Fossil / Other,2390.11, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Nuclear,Nuclear,428.76, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Hydel,Renewable,4528.8, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Solar,Renewable,12.67, GWh
2015-07-01,2015,7,Jul,Electricity Generation by Wind,Renewable,89.4, GWh
2015-07-01,2015,7,Jul,Electricity Generation by bagasse,Renewable,35.73, GWh
2015-08-01,2015,8,Aug,Electricity Generation by Coal,Fossil / Other,3.0, GWh
2015-08-01,2015,8,Aug,Electricity Generation by Gas,Fossil / Other,2684.69, GWh
2015-08-01,2015,8,Aug,Electricity Generation by High Speed Diesel (HSD),Fossil / Other,279.21, GWh
